Data Point Listing of File C:\Users\Devin\Aug23\1500CCM_cpmg_200.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	usec
-43384.000	46438.000	1532.000
-70111.000	45136.000	1534.000
0.000	6.000	1536.000
530.000	16.000	1538.000
14911.000	-3088.000	1540.000
8099.000	4219.000	1542.000
8179.000	14625.000	1544.000
10368.000	8560.000	1546.000
15752.000	-12325.000	1548.000
33334.000	-22973.000	1550.000
-2523.000	-2210.000	1552.000
-7342.000	-31877.000	1554.000
9699.000	-28948.000	1556.000
-9793.000	-27654.000	1558.000
-32648.000	48159.000	1560.000
-41330.000	31211.000	1562.000
-62098.000	-67953.000	1564.000
17880.000	-90620.000	1566.000
72214.000	-26220.000	1568.000
85916.000	-37429.000	1570.000
132647.000	-1263.000	1572.000
53759.000	25194.000	1574.000
-25154.000	85963.000	1576.000
-53873.000	52166.000	1578.000
-23334.000	47857.000	1580.000
-19701.000	-110120.000	1582.000
49793.000	-94054.000	1584.000
135629.000	-29772.000	1586.000
70544.000	107820.000	1588.000
8787.000	170360.000	1590.000
-71621.000	144382.000	1592.000
-135581.000	55466.000	1594.000
-132267.000	-88608.000	1596.000
-81702.000	-195268.000	1598.000
27.000	68.000	1600.000
-31.000	-1595.000	1602.000
-7599.000	416.000	1604.000
2446.000	-764.000	1606.000
9404.000	4724.000	1608.000
19585.000	-656.000	1610.000
30495.000	-28674.000	1612.000
27389.000	21545.000	1614.000
-2110.000	-887.000	1616.000
-31947.000	-15441.000	1618.000
-51456.000	-19731.000	1620.000
-84003.000	-10956.000	1622.000
32892.000	-63052.000	1624.000
95409.000	-29738.000	1626.000
127675.000	-59528.000	1628.000
123208.000	9409.000	1630.000
24003.000	-54742.000	1632.000
-18221.000	42065.000	1634.000
-43128.000	-70815.000	1636.000
-2175.000	-4683.000	1638.000
53902.000	108205.000	1640.000
90341.000	100304.000	1642.000
105270.000	74376.000	1644.000
116377.000	55991.000	1646.000
-16561.000	45482.000	1648.000
-26861.000	-99553.000	1650.000
-4790.000	-55372.000	1652.000
